user_id,auth_date
290180,2018-07-28
712863,2020-06-16
8881,2017-10-21
124518,2017-01-31
309167,2019-04-22
500512,2020-07-18
12030,2019-04-25
247418,2018-07-03
89941,2019-12-24
486950,2019-12-23
199222,2018-02-16
209666,2018-12-04
19490,2014-07-23
383002,2019-10-05
102578,2019-01-26
785789,2020-08-15
94671,2020-04-26
360853,2018-11-14
261029,2020-04-01
158630,2018-08-16
165569,2020-05-20
45763,2019-12-27
822,2019-07-03
59788,2016-03-07
89364,2017-08-28
333733,2018-10-24
656268,2019-11-08
11332,2020-04-18
316923,2019-10-21
209955,2019-09-10
480496,2019-12-23
419307,2020-01-31
289427,2019-11-29
444316,2020-09-21
587855,2019-09-23
1952,2014-01-13
603936,2019-10-11
355422,2019-01-28
797320,2020-03-26
645049,2020-03-05
871064,2020-05-03
273179,2019-01-04
382619,2019-07-20
912569,2020-06-24
86636,2018-10-06
175101,2019-12-10
677024,2020-02-21
739642,2020-06-17
605662,2019-10-13
175578,2018-11-10
457166,2019-07-29
123816,2020-08-06
240207,2019-05-03
150402,2018-05-08
148455,2017-10-19
241990,2019-11-04
392200,2019-07-22
43090,2016-05-05
68253,2019-08-21
108914,2018-03-20
241823,2019-09-01
855229,2020-06-20
3968,2019-06-18
468275,2019-08-16
424978,2020-07-06
216417,2020-04-21
935939,2020-07-10
1026283,2020-08-17
544466,2019-09-08
110556,2018-02-01
776323,2020-03-01
366638,2020-08-20
512249,2019-07-15
218950,2018-10-12
38887,2016-12-04
174889,2017-09-15
62420,2016-10-30
350749,2019-05-17
962712,2020-08-22
192389,2018-12-09
245842,2020-01-17
321519,2020-08-25
803588,2020-07-31
3451,2015-07-09
41335,2016-10-03
162782,2019-01-28
101259,2020-07-11
169053,2019-01-14
265529,2018-08-25
128090,2018-11-10
176486,2018-04-05
615858,2020-02-04
102052,2019-03-18
12000,2019-02-06
289059,2019-04-15
642013,2019-10-26
1000161,2020-07-28
910559,2020-08-26
150313,2018-05-13
64999,2016-02-03
21036,2016-07-29
407751,2020-01-20
497887,2019-07-03
234050,2020-03-03
791058,2020-07-15
1039957,2020-08-30
485178,2020-01-11
576492,2019-10-03
45227,2015-05-30
37985,2020-02-29
187365,2018-02-25
378579,2018-12-24
21022,2020-09-16
467884,2019-04-17
153928,2019-08-17
231894,2019-01-02
57069,2018-02-18
257433,2019-05-07
567851,2020-01-19
146565,2019-03-06
40167,2019-08-08
400850,2019-01-13
195932,2018-06-18
177544,2019-01-21
312290,2020-07-21
62750,2017-03-02
423144,2020-03-09
78321,2016-07-06
241586,2019-07-27
188087,2017-10-12
